;post_time;user;gender;followers;awards;day_difference;video;likes;comments;carousel;post_images;length_caption;number_hashtags;publication_weekday;IM_performance
0;2023-02-08_17-50-24_UTC;user001;F;12721;1;362;0;275;7;0;1;511;0;Wednesday;Offstage
1;2023-02-13_13-28-32_UTC;user001;F;12721;1;357;1;670;15;0;1;454;1;Monday;Backstage
2;2023-02-14_11-14-32_UTC;user001;F;12721;1;356;1;785;12;0;1;389;9;Tuesday;Offstage
3;2023-02-27_15-06-37_UTC;user001;F;12721;1;343;0;472;7;1;5;417;1;Monday;Backstage
4;2023-03-06_13-00-09_UTC;user001;F;12721;1;336;0;304;7;0;1;840;0;Monday;Backstage
5;2023-03-09_13-40-50_UTC;user001;F;12721;1;333;0;1704;88;1;3;740;1;Thursday;Backstage
6;2023-03-17_19-48-12_UTC;user001;F;12721;1;325;0;1620;72;1;10;588;1;Friday;Frontstage
7;2023-03-21_13-32-25_UTC;user001;F;12721;1;321;0;2759;146;1;10;2103;1;Tuesday;Backstage
8;2023-03-25_18-31-17_UTC;user001;F;12721;1;317;0;547;7;1;5;1372;1;Saturday;Backstage
9;2023-03-29_19-26-49_UTC;user001;F;12721;1;313;0;445;4;1;5;486;1;Wednesday;Frontstage
10;2023-04-06_16-06-46_UTC;user001;F;12721;1;305;1;60;3;0;1;414;1;Thursday;Offstage
11;2023-04-17_20-10-10_UTC;user001;F;12721;1;294;0;709;14;1;3;1046;1;Monday;Backstage
12;2023-05-03_17-15-37_UTC;user001;F;12721;1;278;0;535;24;1;8;319;1;Wednesday;Frontstage
13;2023-05-04_06-53-36_UTC;user001;F;12721;1;277;0;374;14;1;4;352;1;Thursday;Frontstage
14;2023-05-05_14-00-28_UTC;user001;F;12721;1;276;0;194;2;1;3;975;0;Friday;Offstage
15;2023-05-07_14-53-35_UTC;user001;F;12721;1;274;0;806;23;1;9;557;1;Sunday;Backstage
16;2023-05-10_12-17-14_UTC;user001;F;12721;1;271;1;672;30;0;1;120;1;Wednesday;Backstage
17;2023-05-16_14-15-59_UTC;user001;F;12721;1;265;0;825;32;1;10;1369;1;Tuesday;Backstage
18;2023-05-21_19-59-21_UTC;user001;F;12721;1;260;0;1248;37;1;10;1202;1;Sunday;Backstage
19;2023-05-24_12-38-31_UTC;user001;F;12721;1;257;0;1005;24;1;3;1227;1;Wednesday;Offstage
20;2023-05-25_21-29-22_UTC;user001;F;12721;1;256;0;729;15;1;5;688;1;Thursday;Backstage
21;2023-06-05_18-16-22_UTC;user001;F;12721;1;245;1;195;7;0;1;370;0;Monday;Frontstage
22;2023-06-20_01-23-25_UTC;user001;F;12721;1;230;0;680;29;1;6;1556;2;Tuesday;Backstage
23;2023-06-29_20-15-07_UTC;user001;F;12721;1;221;0;817;50;0;1;534;0;Thursday;Backstage
24;2023-07-06_16-39-43_UTC;user001;F;12721;1;214;0;898;33;1;10;1250;1;Thursday;Frontstage
25;2023-07-11_11-05-31_UTC;user001;F;12721;1;209;0;36;0;1;2;168;4;Tuesday;Backstage
26;2023-07-14_18-30-44_UTC;user001;F;12721;1;206;0;483;9;1;10;1061;1;Friday;Frontstage
27;2023-07-19_20-40-32_UTC;user001;F;12721;1;201;1;419;16;0;1;179;0;Wednesday;Backstage
28;2023-07-20_21-00-27_UTC;user001;F;12721;1;200;0;297;11;1;7;914;6;Thursday;Frontstage
29;2023-07-21_00-18-16_UTC;user001;F;12721;1;199;0;316;4;1;2;610;1;Friday;Backstage
30;2023-07-27_16-41-41_UTC;user001;F;12721;1;193;1;73;2;0;1;380;0;Thursday;Offstage
31;2023-08-11_13-00-22_UTC;user001;F;12721;1;178;0;232;11;1;2;420;0;Friday;Offstage
32;2023-08-14_14-00-15_UTC;user001;F;12721;1;175;0;268;7;0;1;333;1;Monday;Backstage
33;2023-08-25_18-08-54_UTC;user001;F;12721;1;164;0;370;11;1;10;419;1;Friday;Frontstage
34;2023-09-28_19-24-32_UTC;user001;F;12721;1;130;0;564;17;1;10;1513;3;Thursday;Frontstage
35;2023-10-08_18-04-54_UTC;user001;F;12721;1;120;0;1171;56;1;10;740;1;Sunday;Backstage
36;2023-10-13_18-45-44_UTC;user001;F;12721;1;115;0;729;13;1;3;357;4;Friday;Backstage
37;2023-10-20_02-24-09_UTC;user001;F;12721;1;108;0;65;1;0;1;455;0;Friday;Offstage
38;2023-10-28_10-52-40_UTC;user001;F;12721;1;100;0;1156;39;1;9;1259;1;Saturday;Backstage
39;2023-11-19_19-27-59_UTC;user001;F;12721;1;78;1;505;26;0;1;2016;2;Sunday;Backstage
40;2023-11-21_16-41-02_UTC;user001;F;12721;1;76;1;536;6;0;1;537;6;Tuesday;Backstage
41;2023-11-29_17-26-41_UTC;user001;F;12721;1;68;0;408;8;1;5;430;1;Wednesday;Frontstage
42;2023-12-08_17-00-17_UTC;user001;F;12721;1;59;0;173;5;0;1;1579;0;Friday;Frontstage
43;2023-12-09_15-00-13_UTC;user001;F;12721;1;58;0;93;1;0;1;392;0;Saturday;Offstage
44;2023-12-13_14-01-48_UTC;user001;F;12721;1;54;0;653;28;1;5;721;1;Wednesday;Backstage
45;2023-12-16_20-10-51_UTC;user001;F;12721;1;51;0;276;6;1;2;742;0;Saturday;Offstage
46;2023-12-18_19-11-37_UTC;user001;F;12721;1;49;1;133;0;0;1;397;1;Monday;Offstage
47;2023-12-20_21-02-43_UTC;user001;F;12721;1;47;0;213;8;1;4;1748;2;Wednesday;Offstage
48;2023-12-22_22-25-11_UTC;user001;F;12721;1;45;0;429;11;1;9;1792;2;Friday;Backstage
